"Player","Pos","Pos2","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DvP2","DFC","FanGraphs","FantasyPros","lineupLab","numberFire","RotoGrinders","Rotowire","SwishAnalytics","DvPRank","Line","Spread","OU","ParkFactor","Label"
"Noah Syndergaard","P","","NYM","MIA","R",NA,11800,22.87,1.75,0,NA,NA,24.22,22.1,24.78,21.2,24.53,20.26,22.97,0,-166,-0.92,7,NA,"N. Syndergaard"
"Stephen Strasburg","P","","WAS","@PHI","R",NA,10600,22.53,2.52,0,NA,26.12,21.66,24.1,25.44,19.6,22.89,19.72,20.68,0,-157,-0.859999999999999,7.5,1,"S. Strasburg"
"Lance McCullers","P","","HOU","KCR","R",NA,9900,21.58,2.7,0,NA,25.76,20.8,20.8,23.76,18.4,24.27,18.84,19.98,0,-190,-1.48,8.5,1,"L. McCullers"
"Johnny Cueto","P","","SFG","@SDP","R",NA,11600,21.24,3.46,0,NA,26.39,16.67,21.7,24.36,18.8,24.22,18.51,19.24,0,-155,-0.84,7.5,0.95,"J. Cueto"
"Jake Arrieta","P","","CHC","@MIL","R",NA,9600,21.13,3.26,0,NA,24.8,19.43,21.5,24,15.6,23.92,21.95,17.87,0,-175,-1.2,8,1.04,"J. Arrieta"
"Corey Kluber","P","","CLE","@ARI","R",NA,10000,20.7,2.69,0,NA,NA,19.6,22.9,25,17.6,20.82,21.25,17.7,0,-187,-1.6,9.5,NA,"C. Kluber"
"Carlos Martinez","P","","STL","CIN","R",NA,10000,20.54,4.22,0,NA,26.49,17.87,21.8,23,14.8,24.93,15.94,19.51,0,-182,-1.3,8,0.98,"C. Martinez"
"Jose Quintana","P","","CHW","MIN","L",NA,8800,19.2,2.44,0,NA,22.47,20.1,17.6,22.88,17.9,18.98,17.57,16.11,0,-128,-0.44,8,1.02,"J. Quintana"
"Marco Estrada","P","","TOR","@TBR","R",NA,8500,18.41,2.07,0,NA,22.54,17.33,18.2,20.4,17.2,17.42,16.12,18.11,0,-121,-0.300000000000001,8,0.96,"M. Estrada"
"Rick Porcello","P","","BOS","@DET","R",NA,10400,18.21,3.06,0,NA,23.91,14.91,18,21.84,16.4,17.16,16.53,16.95,0,-112,-0.12,7.5,1.01,"R. Porcello"
