"Player","Pos","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DFC","FanGraphs","FantasyPros","lineupLab","numberFire","RotoGrinders","Rotowire","SwishAnalytics","DvPRank","Line","Spread","OU","ParkFactor","Label"
"Justin Verlander",NA,NA,NA,NA,NA,NA,37.36,3.69,NA,NA,37.32,43.5,36.72,33.8,NA,35.48,NA,NA,NA,NA,NA,NA,"J. Verlander"
"Lance McCullers","P","HOU","SEA","R",NA,8800,36.39,4.16,0,42.28,38.52,40.9,34.5,29.5,36.72,33.36,35.31,0,-157,-0.98,8.5,1,"L. McCullers"
"Johnny Cueto","P","SFG","@ARI","R",NA,9200,35.63,3.66,0,39.94,31.36,39.7,33.02,35.4,39.27,35.19,31.17,0,-150,-0.92,9,1.04,"J. Cueto"
"Kenta Maeda","P","LAD","SDP","R",NA,8600,34.83,4.62,0,37.39,40.18,29.5,36.95,38.8,36.54,27.55,31.72,0,-222,-1.66,7.5,0.96,"K. Maeda"
"Jake Arrieta","P","CHC","@STL","R",NA,10500,34.65,3.85,0,38.02,33.87,39,36.04,29.2,37.81,34.19,29.09,0,-136,-0.539999999999999,7.5,0.98,"J. Arrieta"
"Carlos Carrasco","P","CLE","@TEX","R",NA,9900,34.3,4.52,0,39.87,34.69,39.7,31.32,27.1,37.06,34.12,30.54,0,NA,NA,NA,1.06,"C. Carrasco"
"Jose Quintana",NA,NA,NA,NA,NA,NA,33.13,1.66,NA,NA,32.37,36,31.92,33.1,NA,32.27,NA,NA,NA,NA,NA,NA,"J. Quintana"
"Tyler Anderson","P","COL","@MIL","L",NA,6400,32.51,3.29,0,33.69,36.33,36.9,NA,30.1,30.82,27.98,31.74,0,102,0.140000000000001,8.5,1.04,"T. Anderson"
"CC Sabathia","P","NYY","@TBR","L",NA,7400,31.86,3.47,0,38.23,34.61,33.4,31.77,30.5,28.17,27.85,30.35,0,-111,-0.12,7.5,0.96,"C. Sabathia"
"Matt Shoemaker","P","LAA","@OAK","R",NA,8000,31.15,4.35,0,36.89,29.11,35.4,30.8,27.7,35.49,29.12,24.66,0,-104,0.0999999999999996,7.5,0.97,"M. Shoemaker"
"Jake Odorizzi","P","TBR","NYY","R",NA,7700,30.41,2.79,0,35.97,32.12,27.5,30.52,29.5,31.41,28.47,27.83,0,101,0.12,7.5,0.96,"J. Odorizzi"
"Sean Manaea","P","OAK","LAA","L",NA,6800,29,2.28,0,27.09,28.24,31.9,NA,30,31.86,26.24,27.66,0,-106,-0.0999999999999996,7.5,0.97,"S. Manaea"
"Zach Davies","P","MIL","COL","R",NA,7300,28.98,2.76,0,33.48,29.6,30.2,NA,25.8,29.52,25.35,28.9,0,-112,-0.140000000000001,8.5,1.04,"Z. Davies"
"Adam Wainwright","P","STL","CHC","R",NA,7600,28.58,3.12,0,32.57,28.61,32.8,NA,27.7,28,24.62,25.74,0,126,0.54,7.5,0.98,"A. Wainwright"
"Hisashi Iwakuma","P","SEA","@HOU","R",NA,7800,25.6,2.39,0,28.43,22.35,26.2,NA,26.9,27.96,24.28,23.08,0,147,0.98,8.5,1,"H. Iwakuma"
"Patrick Corbin","P","ARI","SFG","L",NA,5100,24.72,2.84,0,21.8,27.93,25.7,NA,21.9,24.77,22.33,28.58,0,140,0.92,9,1.04,"P. Corbin"
