"Player","Pos","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DFC","FanGraphs","FantasyPros","numberFire","RotoGrinders","Rotowire","DvPRank","Line","Spread","OU","ParkFactor","Label","Actual","Value","actValue"
"Mike Trout","OF","LAA","@OAK","R",3,4700,13.67,1.66,0,16.36,13.18,14.8,12.7,11.69,13.31,0,-111,-0.119999999999999,8,1.03,"M. Trout",28.2,2.90851063829787,6
"Trea Turner","SS","WAS","MIA","R",1,3700,13.14,1.51,0,15.71,12.8,NA,11.7,12.77,12.7,0,-197,-1.46,8,1,"T. Turner",12,3.55135135135135,3.24324324324324
"Mookie Betts","OF","BOS","PIT","R",3,4600,13.09,1.7,0,14.84,13.15,NA,14.7,11.3,11.46,0,-151,-0.880000000000001,8.5,0.95,"M. Betts",6,2.84565217391304,1.30434782608696
"Joey Votto","1B","CIN","PHI","L",3,4000,13.02,1.51,0,15.37,12.01,14.4,12.5,11.59,12.22,0,-115,-0.199999999999999,8.5,0.98,"J. Votto",0,3.255,0
"Bryce Harper","OF","WAS","MIA","L",3,4500,12.9,1.3,0,14.33,13.36,NA,10.8,13.12,12.87,0,-197,-1.46,8,1,"B. Harper",21.7,2.86666666666667,4.82222222222222
"Charlie Blackmon","OF","COL","@MIL","L",1,4000,12.87,2.27,0,15.84,11.93,NA,14.4,10.04,12.15,0,-125,-0.380000000000001,8,0.96,"C. Blackmon",9.5,3.2175,2.375
"Brian Dozier","2B","MIN","KCR","R",1,3400,12.69,2.72,0,16.97,10.74,11.3,15,9.98,12.14,0,-105,-0.0999999999999996,8,0.99,"B. Dozier",9.2,3.73235294117647,2.70588235294118
"Josh Donaldson","3B","TOR","@BAL","R",2,3800,12.52,1.58,0,13.92,10.89,14.9,12.4,11.2,11.8,0,123,0.559999999999999,8.5,0.97,"J. Donaldson",12,3.29473684210526,3.15789473684211
"Nolan Arenado","3B","COL","@MIL","R",4,4000,12.51,1.58,0,15.21,11.38,NA,12.6,11.45,11.93,0,-125,-0.380000000000001,8,0.96,"N. Arenado",15.4,3.1275,3.85
"Nelson Cruz","OF","SEA","@HOU","R",4,3900,12.42,1.69,0,14.11,10.43,14.3,12.6,10.46,12.6,0,134,0.76,8.5,1,"N. Cruz",3,3.18461538461538,0.769230769230769
"Miguel Cabrera","1B","DET","@CHW","R",3,4000,12.38,2.46,0,15.93,11.34,9.3,14.7,11.84,11.19,0,-124,-0.32,7,0.98,"M. Cabrera",NA,3.095,NA
"Daniel Murphy","2B","WAS","MIA","L",4,3500,12.36,1.08,0,13.89,11.63,NA,12.5,12.69,11.07,0,-197,-1.46,8,1,"D. Murphy",9.5,3.53142857142857,2.71428571428571
"Jonathan Villar","3B","MIL","COL","S",1,3600,12.16,1.31,0,13.97,11.02,NA,12.6,10.76,12.45,0,115,0.379999999999999,8,0.96,"J. Villar",19.2,3.37777777777778,5.33333333333333
"Manny Machado","3B","BAL","TOR","R",3,3900,12.09,1.09,0,14.01,11.87,10.9,12.6,11.48,11.67,0,-133,-0.56,8.5,0.97,"M. Machado",6,3.1,1.53846153846154
"Ryan Braun","OF","MIL","COL","R",3,4000,11.91,1.68,0,14.45,10.27,NA,11.9,10.51,12.4,0,115,0.379999999999999,8,0.96,"R. Braun",3,2.9775,0.75
"Trevor Story","SS","COL","@MIL","R",5,3600,11.84,1.6,0,14.12,10.23,NA,12.7,10.56,11.57,0,-125,-0.380000000000001,8,0.96,"T. Story",9.2,3.28888888888889,2.55555555555556
"Jose Altuve","2B","HOU","SEA","R",3,4100,11.84,1.74,0,12.73,12.1,12.4,13.7,8.63,11.48,0,-144,-0.76,8.5,1,"J. Altuve",3,2.88780487804878,0.731707317073171
"Adam Duvall","OF","CIN","PHI","R",4,3300,11.76,1.12,0,12.99,10.91,13,12,10.25,11.42,0,-115,-0.199999999999999,8.5,0.98,"A. Duvall",9,3.56363636363636,2.72727272727273
"Jose Bautista","OF","TOR","@BAL","R",3,3500,11.66,1.11,0,13.34,10.61,11.8,12.4,10.39,11.39,0,123,0.559999999999999,8.5,0.97,"J. Bautista",3,3.33142857142857,0.857142857142857
"Starling Marte","OF","PIT","@BOS","R",2,3900,11.61,1.58,0,12.74,11.98,NA,12.6,8.87,11.85,0,141,0.879999999999999,8.5,0.95,"S. Marte",3.5,2.97692307692308,0.897435897435897
"Chris Davis","1B","BAL","TOR","L",4,3200,11.57,1.15,0,13.59,11.42,11.5,10.1,11.02,11.77,0,-133,-0.56,8.5,0.97,"C. Davis",6.5,3.615625,2.03125
"Hanley Ramirez","1B","BOS","PIT","R",4,3400,11.56,2.26,0,14.7,11.82,NA,12.5,9.16,9.61,0,-151,-0.880000000000001,8.5,0.95,"H. Ramirez",3,3.4,0.882352941176471
"Edwin Encarnacion","1B","CLE","@TEX","R",4,3900,11.5,2.2,0,13.98,10.38,10.7,13.7,8.17,12.06,0,-115,-0.18,7.5,0.94,"E. Encarnacion",24.9,2.94871794871795,6.38461538461538
"Odubel Herrera","OF","PHI","@CIN","L",3,3300,11.31,0.76,0,11.17,10.49,12.3,12.2,10.87,10.84,0,105,0.199999999999999,8.5,0.98,"O. Herrera",12,3.42727272727273,3.63636363636364
"Corey Seager","SS","LAD","SDP","L",2,3600,11.3,0.89,0,12.38,10.02,11.8,11.1,10.6,11.88,0,-344,-2.34,6.5,1.04,"C. Seager",28.7,3.13888888888889,7.97222222222222
"Adam Eaton","OF","WAS","MIA","L",2,3300,11.29,1.1,0,13.06,10.88,NA,11.6,10.52,10.39,0,-197,-1.46,8,1,"A. Eaton",21.2,3.42121212121212,6.42424242424242
"Ian Kinsler","2B","DET","@CHW","R",1,3200,11.28,1.07,0,12.65,9.92,12.1,11.8,10.8,10.39,0,-124,-0.32,7,0.98,"I. Kinsler",NA,3.525,NA
"Carlos Santana","1B","CLE","@TEX","S",1,3300,11.2,1.83,0,12.81,10.95,11.3,12.8,7.83,11.5,0,-115,-0.18,7.5,0.94,"C. Santana",21.7,3.39393939393939,6.57575757575758
"Yoenis Cespedes","OF","NYM","ATL","R",3,3700,11.16,1.42,0,13.06,9.89,NA,12.3,10.25,10.29,0,-176,-1.06,7,1.06,"Y. Cespedes",6.2,3.01621621621622,1.67567567567568
"Carlos Gonzalez","OF","COL","@MIL","L",3,3800,11.14,1.41,0,13,11.7,NA,9.8,9.65,11.53,0,-125,-0.380000000000001,8,0.96,"C. Gonzalez",0,2.93157894736842,0
"Billy Hamilton","OF","CIN","PHI","S",1,3000,11.05,1.07,0,12.85,11.56,9.9,10.7,10.15,11.17,0,-115,-0.199999999999999,8.5,0.98,"B. Hamilton",12.5,3.68333333333333,4.16666666666667
"George Springer","OF","HOU","SEA","R",1,3800,11.04,1.78,0,13.51,11.67,9.8,11.6,8.33,11.3,0,-144,-0.76,8.5,1,"G. Springer",18.7,2.90526315789474,4.92105263157895
"Justin Turner","3B","LAD","SDP","R",3,3500,11.02,1.19,0,12.86,9.83,9.9,11.8,10.45,11.26,0,-344,-2.34,6.5,1.04,"J. Turner",24.9,3.14857142857143,7.11428571428571
"Mark Trumbo","OF","BAL","TOR","R",5,3500,10.97,1.33,0,13.31,10.88,9.6,11.5,10.62,9.92,0,-133,-0.56,8.5,0.97,"M. Trumbo",28.2,3.13428571428571,8.05714285714286
"Khris Davis","OF","OAK","LAA","R",4,3000,10.97,2.1,0,14.37,9.81,10.2,12.2,8.3,10.95,0,101,0.120000000000001,8,1.03,"K. Davis",40.4,3.65666666666667,13.4666666666667
"Jean Segura","SS","SEA","@HOU","R",1,3200,10.96,1.92,0,13.94,10.35,11,11.7,8.04,10.7,0,134,0.76,8.5,1,"J. Segura",6,3.425,1.875
"Carlos Correa","SS","HOU","SEA","R",4,3900,10.91,1.51,0,12.33,11.5,10.6,11.5,8.04,11.52,0,-144,-0.76,8.5,1,"C. Correa",22.2,2.7974358974359,5.69230769230769
"Justin Upton","OF","DET","@CHW","R",5,3100,10.82,2.05,0,14.83,10.18,9,10.6,9.8,10.5,0,-124,-0.32,7,0.98,"J. Upton",NA,3.49032258064516,NA
