"Player","Team","Pos","Pos2","Opp","Tipoff","Salary","Projection","SE","DvP","DvP2","FantasyPros","FantasyFuel","numberFire","RotoGrinders","Rotowire","SportsLine","SwishAnalytics","Label","Deviation","Floor","Ceil","OU","Line","Spread","Situation"
"Anthony Davis","NOR","PF","C","MEM","Tue 8:00PM",10000,49.75,4.02,43.5,42.1,57.2,48.5,52.1,51,46.6,46.975,45.86,"A. Davis",18.36,32.64,69.36,208.5,-135,-2,""
"DeMarcus Cousins","NOR","PF","C","MEM","Tue 8:00PM",9300,48.4,2.55,43.5,42.1,53.1,45.8,49.9,48.89,46.1,48.15,46.89,"D. Cousins",14.18,34.71,63.07,208.5,-135,-2,""
"Karl-Anthony Towns","MIN","PF","C","SAS","Tue 9:30PM",9700,47.24,1.68,43.8,43.9,45.6,NA,46.2,48.59,45.4,48.65,49,"K. Towns",15.55,33.04,64.14,205.5,180,5,""
"Giannis Antetokounmpo
                                 GTD",NA,NA,NA,NA,NA,NA,46.9,0,NA,NA,NA,NA,NA,NA,46.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Giannis Antetokounmpo","MIL","PG","SF","@POR","Tue 10:00PM",9400,45.95,3.06,51.4,43.6,50.5,43.5,47.1,47.9,NA,42.55,44.13,"G. Antetokounmpo",16.77,31.14,64.67,212,170,5,""
"Hassan Whiteside","MIA","C","","PHO","Tue 7:30PM",8500,44.1,2.59,52.4,NA,46.8,NA,40,44.63,46,45.175,42,"H. Whiteside",15.17,29.46,59.8,214,-1000,-12.5,""
"Stephen Curry","GSW","PG","","@DAL","Tue 8:30PM",9200,43.81,1.93,46.7,NA,45.3,NA,44.9,43.8,41.3,45.9,41.68,"S. Curry",14.45,29.35,58.25,207,-205,-5,"3in4-B2B"
"Kawhi Leonard","SAS","SF","","@MIN","Tue 9:30PM",9800,43.79,2.36,42.7,NA,46.7,NA,44.3,45.54,39.9,43.3,43,"K. Leonard",19.58,25.96,65.12,205.5,-210,-5,"3in4"
"Damian Lillard","POR","PG","","MIL","Tue 10:00PM",8800,43.43,1.49,48,NA,46.2,44,42.6,42.21,43.2,44.05,41.77,"D. Lillard",17.73,24.48,59.94,212,-195,-5,"3in4"
"Chris Paul","LAC","PG","","@LAL","Tue 10:30PM",8400,42.37,2.87,55.7,NA,45,40,42.3,41.76,46.4,43.2,37.96,"C. Paul",12.95,28.81,54.71,219.5,-435,-9,"3in4-B2B"
"Jimmy Butler","CHI","SG","SF","@TOR","Tue 7:00PM",8900,42.06,1.57,40,42.8,40.8,42.8,42.6,44.35,40,40.75,43.11,"J. Butler",13.75,30.6,58.1,200,230,6.5,""
"Blake Griffin","LAC","PF","C","@LAL","Tue 10:30PM",8000,41.49,2.05,52,55,42.8,38.3,41.2,41.54,44.2,42.9,39.52,"B. Griffin",12.88,28.66,54.42,219.5,-435,-9,"3in4-B2B"
