"Player","Team","Pos","Opp","Tipoff","Salary","Projection","SE","FantasyPros","numberFire","RotoGrinders","SportingCharts","SportsLine","SwishAnalytics","Label","Deviation","Floor","Ceil","OU","Line","Spread","Situation","PTS","Three","Two","FT","TRB","AST","BLK","STL","TOV","Actual","Value","actValue"
"Russell Westbrook","OKC","PG","@DAL","Sun 8:30PM",13400,57.96,3.41,59.3,53.9,55.64,63.34,56.11,59.46,"R. Westbrook",15.02,40.62,70.66,207,-105,1,"3in4",29,2,6,11,6,5,1,2,1,48.7,4.32537313432836,3.63432835820896
"Anthony Davis","NOR","PF","@LAL","Sun 9:30PM",11200,49.93,4.22,56.9,48.3,51.83,50.64,44.93,46.98,"A. Davis",16.59,35.24,68.42,217.5,-245,-6,"",31,0,10,11,9,2,3,2,1,53.8,4.45803571428571,4.80357142857143
"DeMarcus Cousins","NOR","C","@LAL","Sun 9:30PM",10300,49.39,3.49,53.4,47.9,53.9,46.01,46.13,49.02,"D. Cousins",14.55,39.35,68.45,217.5,-245,-6,"",26,3,6,5,15,2,1,0,4,45,4.79514563106796,4.36893203883495
"John Wall",NA,"PG",NA,NA,NA,45.58,1.96,NA,44.1,48.21,46.12,46.24,43.22,"J. Wall",12.05,36.16,60.26,217,0,-11,NA,19,1,5,6,6,10,1,0,4,39.2,NA,NA
"Isaiah Thomas",NA,"PG",NA,NA,NA,43.11,4.15,NA,41.7,45.23,36.44,46.4,45.8,"I. Thomas",16.28,28.95,61.51,228,-210,-5,NA,35,5,5,10,2,5,0,2,1,47.9,NA,NA
"Stephen Curry",NA,"PG",NA,NA,NA,42.67,2.58,NA,43.2,46.07,41.95,43.21,38.93,"S. Curry",10.6,35.47,56.67,219,-700,-10.5,NA,31,5,6,4,8,6,0,2,2,51.6,NA,NA
"Draymond Green",NA,"PF",NA,NA,NA,38.51,3.04,NA,39.2,41.69,40.49,37.21,33.96,"D. Green",12.09,29.6,53.78,219,-700,-10.5,NA,13,1,3,4,7,4,1,2,0,33.4,NA,NA
"Eric Bledsoe",NA,"PG",NA,NA,NA,38,3.84,NA,37.1,39.81,31.7,41.19,40.21,"E. Bledsoe",14.33,25.48,54.14,228,180,5,NA,28,2,7,8,6,9,0,0,4,44.7,NA,NA
"Paul Millsap",NA,"PF",NA,NA,NA,36.15,1.36,NA,35.9,37.85,37.21,35.16,34.61,"P. Millsap",12.87,24.98,50.72,209.5,-150,-3,NA,23,0,8,7,10,2,0,2,4,38,NA,NA
"Jrue Holiday","NOR","PG","@LAL","Sun 9:30PM",7700,35.03,2.64,38,35.1,36.1,35.64,30.09,35.27,"J. Holiday",13.36,22.74,49.46,217.5,-245,-6,"",20,1,6,5,5,12,0,3,3,47,4.54935064935065,6.1038961038961
"Carmelo Anthony",NA,"SF",NA,NA,NA,34.4,8.15,NA,35.3,39.51,39.32,37.74,20.14,"C. Anthony",11.46,28.05,50.97,219,535,10.5,NA,15,1,5,2,6,2,2,0,2,27.2,NA,NA
"Paul George",NA,"SF",NA,NA,NA,32.95,3.79,NA,34.8,37.6,27.29,32.3,32.75,"P. George",13.91,23.69,51.51,209.5,130,3,NA,34,6,6,4,5,4,0,1,5,43,NA,NA
"Jeff Teague",NA,"PG",NA,NA,NA,32.6,2.39,NA,32.6,35.33,33.8,28.86,32.39,"J. Teague",10.25,25.08,45.58,209.5,130,3,NA,16,1,4,5,4,6,1,1,2,31.8,NA,NA
"Gordon Hayward",NA,"SF",NA,NA,NA,32.58,2.62,NA,33,29.38,31.16,36.43,32.92,"G. Hayward",14.1,15.28,43.48,192.5,-500,-9.5,NA,23,2,5,7,5,5,0,0,3,33.5,NA,NA
"Klay Thompson",NA,"SG",NA,NA,NA,31.83,1.77,NA,30.3,34.41,32.5,31.84,30.09,"K. Thompson",9.98,24.43,44.39,219,-700,-10.5,NA,29,4,4,9,4,1,0,1,1,36.3,NA,NA
"Bradley Beal",NA,"SG",NA,NA,NA,31.72,1.34,NA,31.7,30.22,33.26,32.84,30.59,"B. Beal",12.09,18.13,42.31,217,0,-11,NA,32,3,9,5,3,4,1,2,1,46.6,NA,NA
"Dwight Howard",NA,"C",NA,NA,NA,31.66,1.07,NA,30.7,30.33,32.23,32.65,32.4,"D. Howard",13.65,16.68,43.98,209.5,-150,-3,NA,9,0,2,5,14,3,1,2,4,32.3,NA,NA
"Rudy Gobert",NA,"C",NA,NA,NA,31.35,2.73,NA,32.8,27.76,29.22,34.28,32.67,"R. Gobert",8.88,18.88,36.64,192.5,-500,-9.5,NA,16,0,8,0,24,3,3,1,0,57.3,NA,NA
"D'Angelo Russell","LAL","PG","NOR","Sun 9:30PM",6400,31.21,2.51,27.8,30.3,34.74,31.47,29.71,33.25,"D. Russell",17.02,17.72,51.76,217.5,205,6,"",16,2,5,0,4,7,1,2,6,31.3,4.8765625,4.890625
"Derrick Rose",NA,"PG",NA,NA,NA,30.95,1.8,NA,28.7,31.46,32.77,29.44,32.37,"D. Rose",13.21,18.25,44.67,219,535,10.5,NA,28,0,9,10,1,4,0,1,2,35.2,NA,NA
"Kristaps Porzingis",NA,"PF",NA,NA,NA,30.58,2.95,NA,33,32.12,26.22,32.7,28.85,"K. Porzingis",14.13,17.99,46.25,219,535,10.5,NA,24,2,7,4,15,2,2,0,2,47,NA,NA
"Dennis Schroder",NA,"PG",NA,NA,NA,30.17,0.9,NA,29.7,31.33,29.81,30.89,29.14,"D. Schroder",9.71,21.62,41.04,209.5,-150,-3,NA,18,2,5,2,1,7,0,3,1,34.7,NA,NA
"Julius Randle","LAL","PF","NOR","Sun 9:30PM",6200,29.99,0.93,29.2,28.5,30.76,30.3,30.72,30.47,"J. Randle",14.15,16.61,44.91,217.5,205,6,"",5,0,2,1,12,6,0,1,2,28.4,4.83709677419355,4.58064516129032
